Id,LotArea,LotFrontage,YearBuilt,OverallQual,GrLivArea,BedroomAbvGr,FullBath,GarageArea,TotalBsmtSF,Neighborhood,GarageType,SalePrice
25,18914,99.26783254159909,1942,9,1568,4,2,898.091863322476,1091.2477396860038,NridgHt,BuiltIn,192248
26,123952,104.88803617777484,1960,8,2280,5,2,192.14133343727798,1184.4307326645899,Timber,BuiltIn,104368
27,76962,54.172103000377184,1936,10,1584,3,1,698.2244351654052,1194.5664233512366,Timber,None2,81236
28,188455,109.61796026332522,1935,6,1823,1,2,547.7069725147779,1377.8353512505719,NoRidge,,223857
29,106709,93.42116999938604,1929,1,1568,5,1,365.99172321845407,1646.0152067481306,NoRidge,Detchd,205703
30,38710,63.573732734905796,1983,2,1990,4,1,375.9783019852147,1501.515467239556,NridgHt,Attchd,216653
31,147862,21.0,1994,4,2532,1,1,613.058358962763,1316.1504122654533,Timber,Detchd,200993
32,132268,29.967636551975048,1968,2,1285,5,1,464.4505293128599,504.8679479014547,NoRidge,Detchd,176255
33,5167,54.20375949736856,1977,3,1522,5,1,0.0,1577.8046804647097,StoneBr,BuiltIn,138820
34,129210,,1875,8,1606,3,2,916.6250822427539,1416.455988574963,StoneBr,Detchd,222408
35,19160,,2000,9,1793,1,2,565.6992758007481,944.7076287542997,NridgHt,BuiltIn,333623
36,73589,58.80521939423513,1897,6,1584,5,1,461.8696929051523,1070.0554345897522,StoneBr,BuiltIn,148052
37,83962,,1904,4,1229,4,1,319.2574267074434,1085.7900464315082,NridgHt,BuiltIn,120273
38,190270,,1898,2,1511,1,1,432.56245221538376,864.7959995750875,Timber,Attchd,114894
39,137380,64.75028768918034,1913,7,2791,3,2,744.6060733941549,289.6128381972935,NridgHt,Detchd,127915
40,95648,73.92721032805105,1942,10,1679,2,1,528.9863449928871,566.8377795704309,NridgHt,Detchd,196193
41,173071,69.27901223804412,1935,7,511,5,1,553.3301696318731,659.0433016664613,Timber,Attchd,76877
42,160587,29.818548421792734,1896,10,1307,2,2,205.67748739556544,193.12257596235747,NoRidge,Attchd,215665
43,34851,65.01852241073753,1943,9,1522,5,2,398.1791208874814,568.2761080001324,NoRidge,Detchd,234071
44,182234,69.45765200692234,1976,5,1441,3,1,483.9250224430765,1557.9865431447886,NoRidge,Attchd,88131
45,122859,93.75518430226026,2003,10,1479,3,2,622.0651974999139,1270.318151022552,NoRidge,Attchd,122289
46,76174,50.04865284063317,1883,4,1665,3,2,384.015331085968,630.737644170312,NridgHt,Detchd,186780
47,37741,,1929,10,1782,3,1,671.5639158116958,754.8698581135206,NoRidge,BuiltIn,170830
48,133770,83.5081599117185,1966,6,1650,1,2,228.10841341407541,,StoneBr,Detchd,222720
49,94483,66.43966770861229,1972,2,2014,1,2,,1585.7611044233515,StoneBr,Attchd,170990
50,103799,27.88485075109012,1979,2,729,5,2,452.11041591573087,1087.6808301866702,NoRidge,Attchd,300055
51,144685,94.2416564942467,1930,9,1382,1,1,148.67733726348388,1572.736187394536,StoneBr,Attchd,159109
52,104339,87.93138956863848,1988,7,1742,5,2,462.79045447135815,720.7681391946849,StoneBr,Attchd,122100
53,40139,75.49056112059236,1980,7,1649,1,2,348.32263259884655,1156.8110049330435,Timber,Attchd,118236
54,65536,70.96792962133945,1893,5,1172,1,2,775.5477916834864,409.7599742051592,Timber,,242802
55,86723,27.245802410760852,1936,7,1235,1,2,385.2052083128874,897.0634485093057,NoRidge,Attchd,183077
56,69483,88.5917592613618,1921,9,1073,4,1,548.086294402841,1069.325598643107,NridgHt,Attchd,233118
57,127664,105.67350503988102,1875,10,2027,3,2,209.55701567751703,317.2591440336946,NridgHt,Attchd,231206
58,76444,,1973,5,542,4,2,523.6257431904298,1317.3779768557424,Timber,Attchd,80650
59,123927,,1914,9,842,1,2,384.18008995755645,1390.7285167226082,Timber,Attchd,114666
60,19174,97.15498711228854,1976,1,1734,1,2,306.876832430853,1500.8812723640713,NridgHt,Attchd,120278
61,13913,,1875,3,1800,4,2,1079.4529376346127,2081.73438792038,NoRidge,CarPort,130534
62,56486,60.5405536155305,1938,7,683,5,1,397.36190784752796,1239.9375993246642,NridgHt,Attchd,152920
63,180509,36.50949656536792,1926,4,1843,3,2,,1028.867617186278,NridgHt,Attchd,269810
64,205657,68.43667994250669,1967,2,1609,5,2,666.0265988885294,353.68555882974397,StoneBr,Attchd,292204
65,24571,80.75962149832377,1936,3,1785,3,2,308.55669015343494,1229.0671174727722,NridgHt,Attchd,160919
66,75729,38.30876485551348,1946,7,1553,2,2,,1302.5910191341454,Timber,Attchd,163620
67,176403,,2001,8,1738,3,2,582.2085682630546,,NoRidge,Attchd,136440
68,123616,,1991,9,1756,5,2,525.3658912628053,951.6016665343993,NridgHt,Attchd,187491
69,83806,,1957,6,1762,3,2,964.4166136088828,1061.887208202914,StoneBr,Detchd,196187
70,173943,80.90806173005508,1933,10,1643,2,1,300.8864234008649,1289.4616700600184,Timber,Attchd,249797
71,129845,,1983,9,1470,2,1,802.0465287368314,1432.8899799981855,Timber,,248995
72,69042,67.08462355479892,1997,4,1473,1,1,574.0380461190712,821.4513524068855,StoneBr,Attchd,72039
73,6713,,1948,5,1635,2,2,667.6222172226462,1145.397403792489,Timber,Attchd,170211
74,65315,,1993,1,1948,4,3,546.0241555402534,1308.869876698911,StoneBr,Attchd,314725
75,183871,70.05917990770047,1879,9,2546,5,1,874.951353273256,977.198916809533,Timber,Attchd,151838
76,169208,80.21299106261874,1925,9,1792,4,2,,871.9780514579952,Timber,Attchd,285361
77,65448,47.63135647251517,2006,9,1713,4,1,579.4051310268808,1369.822377061817,Timber,Attchd,160048
78,76566,42.28254313201908,1954,3,2153,5,3,752.3712092821248,978.982734707406,Timber,Attchd,194033
79,48628,39.20627224647068,1974,10,1723,4,2,353.40766282675077,531.4793857994185,StoneBr,Attchd,114812
80,204745,59.913561421339466,1971,10,958,4,1,687.093448941492,1659.7655825999277,NridgHt,Attchd,116554
81,51004,119.48922767216463,1903,10,1130,4,1,469.01141330281143,580.1179625779096,Timber,BuiltIn,241835
82,72000,60.35016977344359,1933,8,2475,2,1,,1015.5116279438736,StoneBr,Detchd,257440
83,53840,78.75103249460922,1901,3,1140,5,1,162.3598301903242,1198.2542026046526,StoneBr,Detchd,182843
84,130722,83.3703510057039,1977,6,1814,5,2,453.56455565766754,1256.8364209166232,StoneBr,BuiltIn,110725
85,35570,43.80330138313217,1910,5,995,5,1,685.0494160233304,1131.4617781490447,NridgHt,,184119
86,74785,59.55743558530867,2004,8,2189,4,3,28.100513096951374,0.0,NoRidge,Detchd,299152
87,198954,,1893,3,1273,2,2,515.8963083735731,748.5964901675547,StoneBr,Detchd,363292
88,211498,80.27985794006615,1999,1,1558,5,2,663.9687068653703,1187.071462984228,StoneBr,Attchd,159393
89,211843,22.144128959698207,1900,9,1395,3,1,199.51872454126362,1009.1080815667245,StoneBr,Attchd,93140
90,124905,84.26584849497405,1913,10,1780,5,2,337.33114211517943,1281.621505772831,NridgHt,Detchd,253206
91,147448,,1931,9,1605,1,2,595.4865254976171,1505.436299032866,Timber,None2,162012
92,212075,57.404387288971236,1990,3,1992,3,2,654.5871207311853,1279.4357596089221,NridgHt,Attchd,263822
93,184248,,1948,2,1859,5,3,816.2770195505936,736.9620978308179,StoneBr,Detchd,202449
94,19762,106.55046218761105,1967,4,1662,4,1,347.52306852178714,820.5973356742508,NoRidge,Attchd,127062
95,103909,,1957,8,1856,5,1,298.46655315022974,1773.2023363894382,StoneBr,Attchd,185185
96,156626,98.29720517294237,1983,6,1882,2,2,,978.3710827751794,Timber,Attchd,305330
97,155623,35.417853570835675,1955,10,1306,2,2,,1015.1158082044416,NoRidge,Attchd,170442
98,160957,,1877,1,1266,5,2,581.5590986265366,1280.8355564960675,NoRidge,Attchd,119598
99,37087,57.01467025772608,1944,8,2329,4,2,940.1865792764743,1600.1403012262444,NridgHt,Detchd,95832
100,130095,76.76816768214546,1948,5,1885,4,2,634.0796604317236,661.345004970432,NridgHt,BuiltIn,132846
101,56631,,1902,6,1727,4,1,640.6198264244601,839.204734378311,Timber,,153546
102,94519,37.81452594486869,1910,5,1094,5,1,746.5061464198016,352.8607911237185,NridgHt,Attchd,251152
103,160225,48.70217529277259,1921,10,576,5,2,585.3216616674559,926.8927386423234,Timber,BuiltIn,115552
104,177362,30.563174083441936,1949,5,1361,1,1,641.6470659430336,1306.1734870633345,NoRidge,Attchd,336824
105,43518,,1997,3,1277,2,2,,897.0984283794888,NoRidge,Attchd,105974
106,118677,81.52778499700115,1980,4,1352,3,3,721.2319679040618,1829.5578732732442,NoRidge,Detchd,459737
107,193564,63.97510888342666,1959,5,1962,3,2,561.4850657982263,1108.0125546830604,Timber,Attchd,360779
108,187412,75.5407458430741,1886,2,2316,2,3,156.6932146131963,1012.1053379520283,NridgHt,Attchd,191430
109,86684,113.57385955828173,1922,6,2097,1,2,524.9899972430746,902.4122012545625,NridgHt,Attchd,93595
110,98792,62.896676962905744,1894,2,1196,2,1,8.69531041250508,460.0232052568348,NridgHt,Detchd,176954
111,46061,,1881,4,1797,1,2,625.7773746509965,1017.3441178810406,StoneBr,Attchd,154984
112,118481,,1944,1,1259,1,2,423.0199696746543,1214.3317231632686,NoRidge,Detchd,108673
113,215166,136.30442878555607,1984,4,548,4,3,880.7882707687587,1005.167377150178,NoRidge,Detchd,203255
114,142642,21.0,1948,7,1474,2,2,577.7810906436926,,StoneBr,Detchd,130139
115,171597,,1903,8,2176,3,1,670.774860479122,762.5731322181617,NoRidge,BuiltIn,135924
116,35279,85.69657538155555,1984,2,1339,5,1,248.46622448993796,510.56669215266163,NoRidge,Attchd,166765
117,149188,51.930270509729446,1936,3,1952,5,1,619.4989911576713,1010.3743843353594,StoneBr,Attchd,143753
118,97409,83.58571737543954,1972,1,1165,2,3,335.8991831630087,1153.8464391789491,NoRidge,Attchd,415433
119,119215,,1889,7,1876,5,2,706.3707823949311,982.9446356428464,NridgHt,Attchd,146024
120,101977,,1902,4,1387,1,2,233.67262363589688,1146.3433500324425,StoneBr,Detchd,215813
121,103188,42.82905206973618,1925,10,2314,5,2,496.49877351138366,1397.9460528192897,NoRidge,Attchd,191764
122,118516,74.1482154547925,1934,8,1350,1,2,225.21315956985,1396.2741476279502,NridgHt,Attchd,208337
123,133369,81.18443752032123,1872,5,1230,1,1,499.9233300458528,1433.3860293121043,Timber,Detchd,214797
124,172461,73.16293979707207,1880,9,2287,3,1,905.8121978841243,1498.3381252675115,NoRidge,Detchd,257393
125,196962,73.58589963810132,1991,6,1212,5,2,627.3513691748968,1275.2189721004056,StoneBr,Detchd,201268
126,146166,98.85834173870944,1963,10,1626,3,2,466.01750059139766,1213.4270391825733,NridgHt,Detchd,197950
127,49254,29.682262083882513,1961,2,1215,5,1,0.0,1909.9600698967276,Timber,Detchd,185202
128,55139,72.99921257900044,1987,1,2000,1,2,358.3629567172768,1401.0091056074239,Timber,Detchd,171176
129,205798,40.980444810897296,1927,1,2195,5,1,574.5758801920718,685.9716879482231,NoRidge,Attchd,125630
130,14169,88.18266248623145,1874,9,1160,3,2,,239.12242985493333,Timber,,176569
131,130739,49.88959402312682,2001,1,1801,4,1,778.4101530641763,951.1340558971343,StoneBr,Attchd,199251
132,86009,21.0,1925,3,1850,3,2,488.3091667644291,1331.2617496253806,Timber,Attchd,212496
133,153657,88.75521794193881,1908,2,1581,4,1,703.8193548479409,1477.9790971706552,NoRidge,Attchd,194449
134,30287,63.55908894498475,1968,4,2315,2,2,516.8487836071047,508.0418509580692,Timber,Detchd,164824
135,25551,78.55911078643845,1883,1,2311,3,2,413.9398213751556,1377.2162309357975,NoRidge,BuiltIn,176837
136,188138,104.24821366477748,1983,1,1067,5,2,372.136128235936,1555.1271627481997,Timber,Attchd,144980
137,52115,78.91362606237365,1949,4,2149,4,3,256.3990357990323,1324.235497384332,NridgHt,Attchd,205069
138,209662,74.06627401381476,1961,4,1780,5,1,707.6752212608792,1239.5034988811265,NoRidge,BuiltIn,165605
139,184834,68.86551089849367,1943,7,1643,4,1,381.4054465404007,998.696142735713,StoneBr,BuiltIn,194471
140,170211,42.46464439002372,1963,8,1393,3,2,584.7715241059506,855.0590938549173,StoneBr,Attchd,269989
141,211462,64.8340514057106,1878,8,736,3,2,360.49057358063806,1401.8548344352344,Timber,,136226
142,137861,117.37356588262199,1886,8,1663,5,1,241.2318144172439,1313.0893109365275,NridgHt,Detchd,229691
143,120623,60.99473847678645,1976,9,1676,3,2,591.8001334738718,913.3868365257983,Timber,Attchd,183340
144,157316,66.25567217384187,1943,1,2562,5,1,313.2053661958883,2172.9846870660776,Timber,BuiltIn,406075
145,130314,100.1700374105283,1945,9,1161,1,1,387.2957295984326,394.1982791757317,NridgHt,Attchd,165925
146,19445,33.009072138353005,1933,10,671,4,2,205.78066411828195,955.0943800197807,NoRidge,Attchd,238919
147,115635,84.88297722296647,1917,8,895,5,2,367.4716241619937,718.3566224203498,StoneBr,Attchd,182035
148,189536,31.866881924678808,1976,1,2350,4,2,478.1589340136095,1225.6532119072344,NridgHt,Attchd,103828
149,156799,79.58052920515503,1980,7,1279,1,2,,201.40496282204538,Timber,Attchd,146904
150,83994,,1932,9,2231,4,2,648.1004959223576,1614.2078938140435,NoRidge,Attchd,257301
151,142506,84.69760385915234,1992,4,1518,5,1,504.1414390160197,1498.3926970992766,Timber,Detchd,152167
152,178102,45.700615116294614,1914,9,1003,3,2,1133.6851555780415,1174.3685980301248,NoRidge,Attchd,74437
153,54668,57.159205967402315,1970,1,2565,4,2,563.7896257611346,920.7678009614308,StoneBr,BuiltIn,178662
154,77586,,1926,9,2206,4,1,101.60566747412395,1371.4600243984805,StoneBr,Attchd,116877
155,197667,,2004,6,1420,1,1,427.443162995122,1201.3021089964152,NoRidge,Detchd,190716
156,123415,88.13236625268406,1983,4,2038,2,3,445.9828963815882,1474.935263399566,StoneBr,Attchd,336473
157,71060,75.02007545653004,1962,5,1579,3,3,341.68291498661915,1003.2432148569296,Timber,Attchd,246125
158,33272,59.30195780967613,1887,7,1744,5,1,488.53871852655084,977.332825165686,NoRidge,Attchd,334528
159,141294,62.4314997272638,1928,10,2440,1,1,335.31302868911956,1530.1267263668785,Timber,Attchd,144525
160,182714,70.08411596004686,1973,4,717,5,1,544.2234369738438,1335.1776273473677,NoRidge,Detchd,170851
161,69156,64.71562926300636,1896,8,1326,5,2,64.54082946704375,,Timber,Detchd,119138
162,97125,87.5259940895908,1893,3,1530,4,2,717.8499129634698,1218.4809669021156,StoneBr,Detchd,137612
163,88384,61.089296091421986,1994,2,1690,1,2,135.24585950381214,1138.1334195817772,NridgHt,Attchd,124874
164,118629,,1958,1,859,1,2,416.5991118684614,1262.1024211513877,Timber,,107272
165,138449,91.84604035678866,1953,6,1996,3,1,316.2007471332048,1614.2888675829572,NoRidge,Detchd,312437
166,20404,59.86890006225302,1973,2,909,2,2,538.4668952041463,903.4068929412304,StoneBr,None2,78357
167,87828,57.031081113639786,1895,8,858,5,1,433.78640230263966,774.0412628998554,NoRidge,,312972
168,81695,21.0,1907,10,1383,3,1,526.8532424554428,1177.1946552006418,Timber,Attchd,297818
169,162256,45.05191915350569,1920,4,2510,3,2,,821.4529019338452,NoRidge,Attchd,220959
170,68000,49.872940512082934,1953,9,2849,5,1,637.4837036607298,657.1069701028509,NoRidge,Attchd,115845
171,36402,57.03686577980861,1919,4,1771,4,2,480.7697711326937,1493.1689009902564,Timber,Detchd,96080
172,55106,52.66865880090728,1968,4,1389,4,2,571.3346620606736,930.9164870751448,StoneBr,Attchd,145285
173,125074,93.59320356829484,1973,8,1597,5,1,892.4416090265368,236.9204126659546,StoneBr,Detchd,232318
174,37071,,1877,8,1690,1,2,645.1069950620924,1429.0154980728935,Timber,,181142
175,70947,53.18496711427417,1939,5,2284,2,1,410.18288206253544,864.6514890324747,StoneBr,Attchd,119183
176,78252,,1885,3,875,4,1,746.4629682014877,1310.668374712927,NridgHt,Attchd,286386
177,199516,,1901,2,2142,2,2,556.7404086553609,1532.6307321697213,NoRidge,Attchd,354892
178,88657,107.53581171632263,1981,9,765,3,2,266.9661818288481,1140.255207288263,Timber,Detchd,165243
179,211303,89.25176298790748,1879,9,1262,3,2,434.3254299010991,163.42453086603302,NridgHt,Attchd,189009
180,176510,41.96591314941164,1937,5,1513,5,2,157.93692421464385,194.94881562498972,NoRidge,Detchd,98940
181,58703,94.3280100608041,2003,8,1730,5,2,0.0,761.8128064363173,Timber,Attchd,153286
182,59305,99.32099534847889,1955,7,1513,5,2,269.9053776798688,1032.0399526593674,StoneBr,Attchd,221902
183,74149,42.589246313953275,1991,3,1606,4,1,499.2323486976212,1583.862156924097,Timber,Detchd,208513
184,131794,42.03600122178822,1924,5,1536,2,2,499.8588991391881,1184.8954694169527,Timber,Attchd,147671
185,42410,55.35008449844479,1970,9,716,3,2,170.92280338323656,,NoRidge,Detchd,162124
186,155333,36.035077126122204,1945,4,1816,2,2,0.0,402.26366216900465,NoRidge,Detchd,151286
187,26492,51.27307517385346,1971,3,1940,4,2,787.7431695046334,1110.247113765136,NoRidge,Detchd,161850
188,211886,60.39700996675016,2000,7,2219,2,1,493.3927275002901,861.438280709343,NridgHt,Attchd,214295
189,89021,82.09965667303554,1886,8,2484,2,2,805.9223632740773,1160.0060802182456,StoneBr,Attchd,82355
190,56948,,1893,5,1730,5,2,793.6984947228405,,Timber,Detchd,175619
191,71403,66.44748384316732,1919,8,2256,2,2,630.227868860621,,Timber,Detchd,208106
192,178019,,1988,5,1524,2,2,485.6567264820436,1080.908102121139,StoneBr,Detchd,144007
193,12286,38.60906200087895,1944,9,753,2,2,387.9027257621759,1435.204596906099,Timber,Attchd,149355
194,112816,84.2012254427677,1991,7,2019,1,2,626.7796559755079,1151.626450283283,NoRidge,Attchd,151094
195,44206,83.6649797637691,1888,5,1903,3,2,438.79041671115203,584.9459764379498,Timber,Attchd,149372
196,111497,55.19563381619884,1977,9,1515,3,2,346.8214778120559,1063.286656567933,StoneBr,Detchd,181347
197,78087,43.57227661301384,1954,5,1482,2,2,24.048397562183027,835.2569666343475,NridgHt,Attchd,190501
198,17111,107.34650650065001,1975,8,1765,5,3,455.2154639988465,1029.4442226473925,NridgHt,Attchd,78089
199,5990,75.92153082608637,1962,4,1337,5,2,707.6875699241718,682.9338578711909,StoneBr,Detchd,234912
200,51504,79.52723899180101,1920,9,1747,5,1,742.4937480975409,1125.1095412016045,Timber,Attchd,161105
201,193206,80.5635486567942,1930,6,1030,3,2,484.4016440608821,1191.180461056855,Timber,Attchd,391993
202,98349,41.14039123404897,2009,6,1089,4,2,282.81598497016057,1366.167108714184,NridgHt,Attchd,112325
203,130713,105.98263801640479,1901,3,821,2,2,666.1871850810232,1193.028515577412,Timber,Attchd,127885
204,138949,60.316049609338464,1956,3,2693,3,2,469.7117942035974,1774.5932846360474,NridgHt,Attchd,166816
205,11403,89.72900809429463,1892,4,1553,5,1,394.7454783685058,2019.3768711970235,StoneBr,,213438
206,147139,105.00238488224267,1905,1,2149,3,1,161.43420723431757,879.4105660295511,StoneBr,Attchd,82909
207,181128,71.95302476843679,1944,6,939,3,1,923.2049560664,1482.859759231628,Timber,Attchd,129855
208,28106,41.6445181903572,1969,1,1419,3,2,631.017268098955,1985.3094781017599,NoRidge,Attchd,229198
209,124616,21.0,1947,4,1804,5,1,654.097180834515,1494.2978478507664,NoRidge,Detchd,123817
210,134832,69.07802057675349,1956,7,2287,4,2,288.35881758786536,1371.9050138338603,NridgHt,Attchd,312958
211,162839,76.00346674558129,1955,6,1198,1,1,490.0664288425386,257.20482012280934,StoneBr,Attchd,150883
212,190941,,2005,8,1303,2,2,455.56031268466865,812.004665726492,NridgHt,Attchd,126255
213,182632,73.256450882966,1980,4,1099,2,1,640.3682467581862,876.0863659617482,StoneBr,Attchd,230940
214,18333,,1934,9,1451,3,1,763.9797496149884,1665.9767230888033,NridgHt,Attchd,344160
215,116756,93.85426697907124,1883,10,979,4,2,166.0778621656085,736.2624113335532,NridgHt,Attchd,213709
216,4998,,1873,8,760,5,1,243.01899403161522,1019.5205154919878,NridgHt,Detchd,299535
217,127240,68.91179983695848,2000,5,1650,1,3,611.1878999808716,1425.8809243102842,Timber,Attchd,353793
218,197882,65.7135920935947,2003,6,1867,1,1,364.2817170793163,716.4679855474469,NoRidge,Detchd,125125
219,179301,,1918,5,917,3,2,647.3830612252007,1179.5203717401728,StoneBr,Attchd,263332
220,12018,57.68357485782727,1923,6,1160,3,3,393.1653003022499,1122.3115245759795,NridgHt,Attchd,98363
221,210609,57.56883077213238,1918,1,1462,5,2,205.76222903555077,1442.0513449856132,NoRidge,,214438
222,23754,59.079451857464754,1970,4,2411,5,1,96.49920940030347,1346.2347729548596,NridgHt,Detchd,175832
223,82938,73.75038979886793,1921,9,334,5,1,576.6033748883951,1332.3811937619157,NridgHt,Attchd,297448
224,158117,49.66446333157272,1916,4,1748,3,2,581.8512163191477,1145.144689801938,StoneBr,Attchd,289154
225,135917,,1913,2,1871,4,1,680.6261688460406,321.2553287898929,Timber,Attchd,227232
226,213478,113.4061592109138,1942,6,1141,3,2,543.1649517504381,1118.3116740543715,NridgHt,Attchd,203859
227,188938,91.51358417210518,1928,2,1331,3,2,0.0,1081.2785373489926,StoneBr,BuiltIn,221718
228,179293,47.0300541456012,1904,3,1689,1,2,580.734899079239,1393.513146027541,Timber,Attchd,185446
229,61329,,1985,7,1499,5,1,161.10410259516806,871.334456543802,Timber,Detchd,176546
230,95267,,1915,4,2407,2,1,73.30834839382817,1075.3497981962494,NoRidge,,322173
231,108899,67.50593172450787,1985,1,1568,5,1,47.534911550799904,1089.2054738061365,NoRidge,Attchd,338057
232,11142,53.008649271846345,1927,9,1967,4,2,27.839773854639418,744.1885069006423,NridgHt,Attchd,170954
233,84875,50.2836613003543,1915,6,1751,4,1,532.7013138099488,550.7111101523919,NoRidge,Detchd,198962
234,90717,,1967,9,1879,5,2,316.52657244439536,1224.9354201973347,StoneBr,Attchd,186927
235,197105,49.69039210728382,1944,3,1106,5,2,147.91146767409128,1499.4079902110361,StoneBr,Attchd,94952
236,205143,96.3333119121238,1905,5,1620,3,1,477.93966692031466,782.6645264962679,NoRidge,,158140
237,130912,103.13935812292023,1885,9,1480,2,2,236.33028993988947,961.4000567252008,StoneBr,Detchd,343072
238,185954,68.97269205836578,1996,6,1138,3,1,,1421.172107678843,StoneBr,Detchd,134041
239,165871,97.33073948613111,1950,2,2000,1,1,783.3469460004137,1463.8250196512645,NridgHt,Detchd,421524
240,167607,60.122825240734045,1954,1,456,1,1,426.433121543227,1158.5957805891032,NridgHt,Attchd,289139
241,116520,52.85555720118113,2008,9,2222,4,1,767.7367187128121,1238.8345021497948,StoneBr,Attchd,212440
242,121437,96.40660432348575,1898,1,350,4,2,767.3764227796152,1290.5698790952827,NoRidge,,226421
243,156155,107.91680693453218,1921,5,1434,2,2,491.1060571545701,1369.1439173348979,StoneBr,Detchd,125358
244,23605,117.11579168781319,1926,1,2009,4,1,843.9590418534276,586.6468870383967,Timber,CarPort,162709
245,214238,77.9837217154506,2003,5,891,1,3,339.96433091983135,1898.6553607891306,Timber,Attchd,322022
246,15236,90.69064948455099,1969,5,1737,2,2,54.575395954403575,1177.2877131723708,Timber,Attchd,141492
247,43781,77.45481348318756,1908,7,1680,1,1,140.36309106754942,1377.3962975370418,NridgHt,Attchd,276583
248,80851,,2003,7,1686,5,1,330.1154838956504,722.5679348052779,NoRidge,Detchd,104297
249,91432,80.39881920254221,1908,10,1331,5,2,587.3406386422555,,StoneBr,Attchd,112033
250,156884,89.32201092788881,1983,1,1270,2,3,225.8679063065756,1222.4958447067754,NoRidge,Attchd,387073
251,79280,42.74995707513122,1883,9,690,3,2,328.378617366302,264.86500982378357,NoRidge,None2,180066
252,175240,64.45209339117586,1927,1,1460,4,3,205.6120314520332,661.399517522379,NoRidge,Detchd,145861
253,57152,89.52726756741366,1951,5,1996,2,2,333.2789751718119,738.5996748168546,Timber,Attchd,312047
254,132530,87.37534585766483,1885,7,1275,4,2,760.3398199340362,495.6784866991293,StoneBr,BuiltIn,297790
255,13218,91.57367703685863,1925,8,1301,1,2,549.5212406374706,1103.570309803412,NridgHt,Attchd,261481
256,214892,72.89571153258127,1936,2,2349,3,2,349.5242969492764,1024.4777113529428,NoRidge,Attchd,144041
257,97719,54.351471924753284,1987,1,1429,4,2,734.1808203619587,1682.0075090991197,NoRidge,Attchd,161304
258,123227,68.5852831955451,1929,4,1699,5,2,478.4923609314819,565.0234258473079,Timber,Detchd,204938
259,176569,71.12882473620408,1967,4,1796,5,1,,1160.0545381211923,Timber,Detchd,238846
260,164000,,1892,10,1428,1,2,717.5539070668561,670.6404955660166,StoneBr,Attchd,147623
261,191394,46.77122975475791,1875,6,1872,2,2,399.6790782125894,303.17549475334954,NridgHt,CarPort,193708
262,159062,63.61920194350485,1944,1,2034,4,2,669.0754590755655,1315.0458919101582,NridgHt,Attchd,201344
263,182781,67.8719773721409,1998,1,1989,1,1,653.8147293378352,1351.392934367976,Timber,Detchd,302707
